actor_id,lat,lng,datasource_id
AR LGS,-354667,-695833,UNLOCODE:2023-2
AR JMG,-348500,-580167,UNLOCODE:2023-2
AR MDQ,-380500,-575333,UNLOCODE:2023-2
AR JMJ,-327000,-621000,UNLOCODE:2023-2
AR MGA,-316500,-599000,UNLOCODE:2023-2
AR MJH,-346333,-586000,UNLOCODE:2023-2
AR MRT,-345667,-585833,UNLOCODE:2023-2
AR MAR,-344833,-585000,UNLOCODE:2023-2
AR MDE,-346667,-585000,UNLOCODE:2023-2
AR MTH,-346167,-593833,UNLOCODE:2023-2
AR MYR,-330167,-688667,UNLOCODE:2023-2
AR MED,-275333,-676000,UNLOCODE:2023-2
AR MRO,-349333,-590500,UNLOCODE:2023-2
AR RLO,-323500,-650167,UNLOCODE:2023-2
AR MIL,-310167,-659833,UNLOCODE:2023-2
